round,n,m,W,P,Lmax,seen,quick,exact,deg2,survivors
180,10,20,4;8;9;10,2;6;9,10,1061159,0,1061159,0,0
181,8,13,6;8,2;5;6;7,8,1557,0,1557,0,0
182,9,8,4;5;6;8,2;6;7,8,345,0,203,0,142
183,6,9,4;5;6,5,6,21,0,20,1,0
184,8,9,3;6;7;8,1;3;5;6,8,402,0,360,0,42
185,8,9,6;8,2;4;6;7,8,402,0,401,0,1
186,10,21,4;7;9,1;2;3;4;5;9,9,1251389,6677,1244712,0,0
187,9,14,5;7;9,2;3;6;8,9,15615,0,15615,0,0
188,6,11,5;6,1;2;3;5,6,9,0,9,0,0
189,7,7,5,1;4;5;6,5,65,2,59,0,4
190,7,15,3;5;6,1;2;3;4;5;6,6,41,5,36,0,0
191,7,13,3;4;6;7,2;5;6,7,97,0,97,0,0
192,6,14,3,3,3,1,1,0,0,0
193,10,9,6,2;3;4;5;8;9,6,1103,15,960,0,128
